011288A	 HRV -28.7057 -177.452 26.8 42.5064 -71.5583 0.2
061988A	 HRV 12.4018 121.065 17 42.5064 -71.5583 0.2
061988A	 PAS 12.4018 121.065 17 34.1484 -118.171 0.314
070488A	 INU -17.6815 -71.7507 20 35.35 137.029 0.132
101088A	 HRV -28.586 -177.57 28 42.5064 -71.5583 0.2
111788A	 HRV 12.3742 124.562 19 42.5064 -71.5583 0.2
031089A	 COL -13.6965 34.4452 30 64.9 -147.793 0.32
031089A	 HRV -13.6965 34.4452 30 42.5064 -71.5583 0.2
041589A	 PAS 29.9729 99.2295 21.4 34.1484 -118.171 0.314
053189A	 HRV -45.1606 167.076 13.8 42.5064 -71.5583 0.2
053189A	 OBN -45.1606 167.076 13.8 55.1146 36.5674 0.16
053189A	 SSB -45.1606 167.076 13.8 45.279 4.542 0.7
080389A	 PAS 23.0503 121.931 11 34.1484 -118.171 0.314
091389A	 CAN -35.6254 -17.4195 12 -35.3187 148.996 0.7
092289A	 PAS 31.5374 102.448 4.5 34.1484 -118.171 0.314
101789A	 HRV -4.0037 152.425 23.5 42.5064 -71.5583 0.2
101889A	 CAN 37.0608 -121.789 7.6 -35.3187 148.996 0.7
110389A	 HRV -1.2788 148.715 17 42.5064 -71.5583 0.2
110389A	 OBN -1.2788 148.715 17 55.1146 36.5674 0.16
020890A	 ANMO 9.7469 124.703 0.8 34.9459 -106.457 1.75
020890A	 CCM 9.7469 124.703 0.8 38.0557 -91.2446 0.1715
020890A	 HRV 9.7469 124.703 0.8 42.5064 -71.5583 0.2
021090A	 ANMO -42.3277 172.782 0.4 34.9459 -106.457 1.75
021090A	 CCM -42.3277 172.782 0.4 38.0557 -91.2446 0.1715
021090A	 HRV -42.3277 172.782 0.4 42.5064 -71.5583 0.2
032590A	 CAN 9.959 -84.7825 22 -35.3187 148.996 0.7
032590A	 INU 9.959 -84.7825 22 35.35 137.029 0.132
050890A	 INU 6.8962 -82.6347 9.6 35.35 137.029 0.132
050890A	 WUS 6.8962 -82.6347 9.6 41.199 79.218 1.457
053090A	 ERM -6.0307 -77.2142 2.5 42.015 143.157 0.04
053090A	 INU -6.0307 -77.2142 2.5 35.35 137.029 0.132
060790A	 ANMO -3.5327 144.452 29.3 34.9459 -106.457 1.75
060790A	 CCM -3.5327 144.452 29.3 38.0557 -91.2446 0.1715
060790A	 UNM -3.5327 144.452 29.3 19.3297 -99.1781 2.28
061490A	 ANMO 11.6674 122.003 18.1 34.9459 -106.457 1.75
061490A	 CCM 11.6674 122.003 18.1 38.0557 -91.2446 0.1715
061490A	 HRV 11.6674 122.003 18.1 42.5064 -71.5583 0.2
061490A	 VSL 11.6674 122.003 18.1 39.496 9.378 0.37
061790A	 COR 27.4481 65.741 14.5 44.5855 -123.305 0.11
061790A	 PAS 27.4481 65.741 14.5 34.1484 -118.171 0.314
062390A	 ANMO -0.604 146.47 23.9 34.9459 -106.457 1.75
062390A	 CCM -0.604 146.47 23.9 38.0557 -91.2446 0.1715
062390A	 OBN -0.604 146.47 23.9 55.1146 36.5674 0.16
070990A	 CCM 5.4005 31.6673 12.6 38.0557 -91.2446 0.1715
070990A	 UNM 5.4005 31.6673 12.6 19.3297 -99.1781 2.28
071690A	 UNM 15.6982 121.221 25.1 19.3297 -99.1781 2.28
071790A	 HRV 16.4517 121.089 29.7 42.5064 -71.5583 0.2
082590A	 ANMO 0.5442 126.07 2.2 34.9459 -106.457 1.75
082590A	 PAS 0.5442 126.07 2.2 34.1484 -118.171 0.314
090290A	 CAN -0.1293 -80.2849 7.8 -35.3187 148.996 0.7
090290A	 ERM -0.1293 -80.2849 7.8 42.015 143.157 0.04
091490A	 ALE -60.7721 -22.9095 15 82.5033 -62.35 0.06
091490A	 COR -60.7721 -22.9095 15 44.5855 -123.305 0.11
091490A	 ERM -60.7721 -22.9095 15 42.015 143.157 0.04
091490A	 KIP -60.7721 -22.9095 15 21.42 -158.011 0.077
091490A	 PAS -60.7721 -22.9095 15 34.1484 -118.171 0.314
091490A	 WUS -60.7721 -22.9095 15 41.199 79.218 1.457
091790A	 ALE -53.1699 159.638 10 82.5033 -62.35 0.06
091790A	 COR -53.1699 159.638 10 44.5855 -123.305 0.11
091790A	 HYB -53.1699 159.638 10 17.417 78.553 0.51
091790A	 KIV -53.1699 159.638 10 43.9562 42.6888 1.21
093090A	 CCM 24.2606 125.213 28.4 38.0557 -91.2446 0.1715
093090A	 HRV 24.2606 125.213 28.4 42.5064 -71.5583 0.2
101590A	 GSC -2.2209 92.232 8.8 35.3028 -116.808 0.99
101590A	 HRV -2.2209 92.232 8.8 42.5064 -71.5583 0.2
101590A	 PAS -2.2209 92.232 8.8 34.1484 -118.171 0.314
111290A	 ANMO 42.9436 78.073 8.9 34.9459 -106.457 1.75
111290A	 GSC 42.9436 78.073 8.9 35.3028 -116.808 0.99
121190A	 ALE -15.3903 -173.125 12.8 82.5033 -62.35 0.06
121190A	 AQU -15.3903 -173.125 12.8 42.354 13.405 0.71
121190A	 GAR -15.3903 -173.125 12.8 39.0052 70.3328 1.3
121190A	 SUR -15.3903 -173.125 12.8 -32.3797 20.8117 1.77
121390B	 CCM 23.712 121.618 21.7 38.0557 -91.2446 0.1715
121390B	 HRV 23.712 121.618 21.7 42.5064 -71.5583 0.2
122190A	 ALE -20.509 -174.071 13.3 82.5033 -62.35 0.06
122190A	 AQU -20.509 -174.071 13.3 42.354 13.405 0.71
122190A	 HRV -20.509 -174.071 13.3 42.5064 -71.5583 0.2
122190A	 OBN -20.509 -174.071 13.3 55.1146 36.5674 0.16
122190A	 SUR -20.509 -174.071 13.3 -32.3797 20.8117 1.77
010591A	 ANMO 23.5455 95.9627 18.1 34.9459 -106.457 1.75
010591A	 CCM 23.5455 95.9627 18.1 38.0557 -91.2446 0.1715
010591A	 HRV 23.5455 95.9627 18.1 42.5064 -71.5583 0.2
010591A	 PAS 23.5455 95.9627 18.1 34.1484 -118.171 0.314
010991A	 HRV -5.3629 151.844 20.6 42.5064 -71.5583 0.2
020991A	 CCM -9.9145 159.13 9.9 38.0557 -91.2446 0.1715
020991A	 ECH -9.9145 159.13 9.9 48.2163 7.15896 0.58
020991A	 HRV -9.9145 159.13 9.9 42.5064 -71.5583 0.2
020991A	 OBN -9.9145 159.13 9.9 55.1146 36.5674 0.16
020991A	 SSB -9.9145 159.13 9.9 45.279 4.542 0.7
022191A	 DRV 58.4298 -175.449 20.2 -66.6649 140.002 0.04
022191A	 TNV 58.4298 -175.449 20.2 -74.7 164.12 0.04
030391A	 GRA1 -21.8621 -175.053 16.1 49.6919 11.2217 0.4995
030391A	 HRV -21.8621 -175.053 16.1 42.5064 -71.5583 0.2
030891A	 DRV 60.8555 167.016 13 -66.6649 140.002 0.04
030891A	 TNV 60.8555 167.016 13 -74.7 164.12 0.04
032691A	 UNM 21.7117 121.775 17.7 19.3297 -99.1781 2.28
040591A	 WUS -5.9699 -77.1001 17.2 41.199 79.218 1.457
042491A	 KEG 9.7597 -83.5191 12.7 29.9275 31.8292 0.46
042491A	 MAJO 9.7597 -83.5191 12.7 36.5457 138.204 0.405
051391A	 ALE -3.4564 82.8028 10 82.5033 -62.35 0.06
051391A	 CCM -3.4564 82.8028 10 38.0557 -91.2446 0.1715
061091A	 DRV 23.7655 -45.3776 9.7 -66.6649 140.002 0.04
061091A	 ERM 23.7655 -45.3776 9.7 42.015 143.157 0.04
061091A	 INU 23.7655 -45.3776 9.7 35.35 137.029 0.132
061091A	 MAJO 23.7655 -45.3776 9.7 36.5457 138.204 0.405
061091A	 TSK 23.7655 -45.3776 9.7 36.2108 140.11 0.35
061591A	 AQU -58.2893 -24.2481 16.9 42.354 13.405 0.71
061591A	 BGY -58.2893 -24.2481 16.9 44.8026 20.5158 0.25
061591A	 OBN -58.2893 -24.2481 16.9 55.1146 36.5674 0.16
070291A	 CCM -1.0977 99.8282 28.7 38.0557 -91.2446 0.1715
070491A	 ALE -8.0925 124.68 28.8 82.5033 -62.35 0.06
070491A	 ANMO -8.0925 124.68 28.8 34.9459 -106.457 1.75
070491A	 COR -8.0925 124.68 28.8 44.5855 -123.305 0.11
070491A	 HRV -8.0925 124.68 28.8 42.5064 -71.5583 0.2
070491A	 ISA -8.0925 124.68 28.8 35.663 -118.473 0.835
070491A	 PAS -8.0925 124.68 28.8 34.1484 -118.171 0.314
070491A	 SBC -8.0925 124.68 28.8 34.4417 -119.713 0.09
070491A	 TAM -8.0925 124.68 28.8 22.7915 5.52838 1.41
071391A	 CAN 42.1904 -125.645 11 -35.3187 148.996 0.7
071391A	 DRV 42.1904 -125.645 11 -66.6649 140.002 0.04
080891A	 AQU 1.0388 122.668 12.4 42.354 13.405 0.71
080891A	 BNI 1.0388 122.668 12.4 45.052 6.678 1.395
080891A	 GSC 1.0388 122.668 12.4 35.3028 -116.808 0.99
080891A	 HRV 1.0388 122.668 12.4 42.5064 -71.5583 0.2
080891A	 PAS 1.0388 122.668 12.4 34.1484 -118.171 0.314
080891A	 SSB 1.0388 122.668 12.4 45.279 4.542 0.7
080891A	 UNM 1.0388 122.668 12.4 19.3297 -99.1781 2.28
081491A	 ALE -13.581 167.606 11.7 82.5033 -62.35 0.06
081491A	 ECH -13.581 167.606 11.7 48.2163 7.15896 0.58
081491A	 KONO -13.581 167.606 11.7 59.6491 9.5982 0.216
081491A	 SSB -13.581 167.606 11.7 45.279 4.542 0.7
081491A	 TOL -13.581 167.606 11.7 39.8814 -4.0485 0.48
081691A	 CAN 41.7202 -125.423 7 -35.3187 148.996 0.7
081691A	 DRV 41.7202 -125.423 7 -66.6649 140.002 0.04
081691A	 RER 41.7202 -125.423 7 -21.1712 55.7399 0.834
081791A	 CAN 41.8481 -125.413 13.5 -35.3187 148.996 0.7
081791A	 CTAO 41.8481 -125.413 13.5 -20.0882 146.255 0.357
081791A	 DRV 41.8481 -125.413 13.5 -66.6649 140.002 0.04
091891A	 AAK 14.6001 -91.007 11.2 42.6333 74.4944 1.68
091891A	 DRV 14.6001 -91.007 11.2 -66.6649 140.002 0.04
091891A	 TLY 14.6001 -91.007 11.2 51.6807 103.644 0.579
092191A	 AQU -16.2123 -173.004 17 42.354 13.405 0.71
092191A	 HRV -16.2123 -173.004 17 42.5064 -71.5583 0.2
092191A	 OBN -16.2123 -173.004 17 55.1146 36.5674 0.16
